Owner,Pos,player_type,tot_2025,tot_2026,tot_2027,tot_2028
,,,0.0,0.0,0.0,0.0
,,  ,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0
Chad,,,284.5,165.5,47.5,18.0
Chad,QB,  ,74.5,26.75,26.75,18.0
Chad,RB,  ,97.25,86.75,1.75,0.0
Chad,RB,TS,0.0,0.0,0.0,0.0
Chad,TE,  ,18.0,14.75,11.75,0.0
Chad,TE,TS,0.0,0.0,0.0,0.0
Chad,WR,  ,94.75,37.25,7.25,0.0
Chad,WR,TS,0.0,0.0,0.0,0.0
Jim,,,290.75,155.25,36.0,0.0
Jim,QB,  ,79.75,32.5,26.0,0.0
Jim,RB,  ,88.5,72.5,9.0,0.0
Jim,TE,  ,14.25,8.0,0.0,0.0
Jim,WR,  ,108.25,42.25,1.0,0.0
Kevin,,,250.5,235.25,83.75,0.0
Kevin,QB,  ,54.75,71.25,0.0,0.0
Kevin,RB,  ,78.75,51.5,0.0,0.0
Kevin,RB,TS,0.0,0.0,0.0,0.0
Kevin,TE,  ,27.25,27.25,18.0,0.0
Kevin,TE,TS,0.0,0.0,0.0,0.0
Kevin,WR,  ,89.75,85.25,65.75,0.0
Kevin,WR,TS,0.0,0.0,0.0,0.0
Marcus,,,278.75,177.5,25.25,8.0
Marcus,QB,  ,112.5,90.0,0.0,0.0
Marcus,RB,  ,57.0,45.25,24.75,7.5
Marcus,TE,  ,20.25,23.75,0.0,0.0
Marcus,TE,TS,0.0,0.0,0.0,0.0
Marcus,WR,  ,89.0,18.5,0.5,0.5
Marcus,WR,TS,0.0,0.0,0.0,0.0
Matt,,,267.25,207.75,104.0,8.75
Matt,QB,  ,91.25,45.25,36.0,0.0
Matt,RB,  ,22.5,33.5,0.0,0.0
Matt,RB,TS,0.0,0.0,0.0,0.0
Matt,TE,  ,17.5,17.5,17.5,0.0
Matt,TE,TS,0.0,0.0,0.0,0.0
Matt,WR,  ,136.0,111.5,50.5,8.75
Mike K,,,287.75,81.75,41.75,19.25
Mike K,QB,  ,72.5,32.5,4.0,0.0
Mike K,QB,TS,0.0,0.0,0.0,0.0
Mike K,RB,  ,88.25,2.25,0.0,0.0
Mike K,RB,Cut,0.0,0.0,0.0,0.0
Mike K,RB,TS,0.0,0.0,0.0,0.0
Mike K,TE,  ,20.0,11.0,11.0,0.0
Mike K,WR,  ,107.0,36.0,26.75,19.25
Mike K,WR,TS,0.0,0.0,0.0,0.0
Mike N,,,254.5,161.25,58.5,0.0
Mike N,QB,  ,59.5,37.25,0.0,0.0
Mike N,RB,  ,94.0,56.0,9.5,0.0
Mike N,RB,TS,0.0,0.0,0.0,0.0
Mike N,TE,  ,20.25,20.25,20.25,0.0
Mike N,TE,TS,0.0,0.0,0.0,0.0
Mike N,WR,  ,80.75,47.75,28.75,0.0
Mike N,WR,IR,0.0,0.0,0.0,0.0
Mike N,WR,TS,0.0,0.0,0.0,0.0
Nick,,,227.0,156.25,95.0,0.0
Nick,QB,  ,36.0,36.0,24.0,0.0
Nick,QB,TS,0.0,0.0,0.0,0.0
Nick,RB,  ,79.5,70.0,43.5,0.0
Nick,TE,  ,20.0,20.0,0.0,0.0
Nick,WR,  ,91.5,30.25,27.5,0.0
Nick,WR,TS,0.0,0.0,0.0,0.0
Ruben,,,261.5,193.25,110.25,0.0
Ruben,QB,  ,165.25,111.25,72.5,0.0
Ruben,RB,  ,46.25,46.25,11.0,0.0
Ruben,RB,IR,0.0,7.75,0.0,0.0
Ruben,RB,TS,0.0,0.0,0.0,0.0
Ruben,TE,  ,10.5,10.5,10.5,0.0
Ruben,TE,IR,0.0,1.25,0.0,0.0
Ruben,WR,  ,39.5,16.25,16.25,0.0
Ruben,WR,TS,0.0,0.0,0.0,0.0
Tommy,,,306.75,134.0,41.0,16.25
Tommy,QB,  ,49.0,11.25,0.0,0.0
Tommy,QB,IR,0.0,0.0,0.0,0.0
Tommy,QB,TS,0.0,0.0,0.0,0.0
Tommy,RB,  ,107.75,53.75,24.75,0.0
Tommy,RB,Cut,13.5,27.0,0.0,0.0
Tommy,RB,TS,0.0,0.0,0.0,0.0
Tommy,TE,  ,17.25,10.75,0.0,0.0
Tommy,TE,TS,0.0,0.0,0.0,0.0
Tommy,WR,  ,117.0,31.25,16.25,16.25
Tommy,WR,Cut,2.25,0.0,0.0,0.0
Tommy,WR,IR,0.0,0.0,0.0,0.0
Tyler,,,232.25,134.0,36.5,16.5
Tyler,QB,  ,57.5,46.0,0.0,0.0
Tyler,QB,Cut,0.0,0.0,0.0,0.0
Tyler,QB,TS,0.0,0.0,0.0,0.0
Tyler,RB,  ,63.0,27.5,11.5,0.0
Tyler,TE,  ,18.5,0.0,0.0,0.0
Tyler,TE,TS,0.0,0.0,0.0,0.0
Tyler,WR,  ,91.25,59.5,25.0,16.5
Tyler,WR,Cut,2.0,1.0,0.0,0.0
Tyler,WR,TS,0.0,0.0,0.0,0.0
Zeke,,,256.0,96.0,63.0,6.0
Zeke,QB,  ,85.5,31.0,15.0,0.0
Zeke,RB,  ,86.0,10.0,10.0,0.0
Zeke,RB,TS,0.0,0.0,0.0,0.0
Zeke,TE,  ,2.0,2.0,0.0,0.0
Zeke,TE,TS,0.0,0.0,0.0,0.0
Zeke,WR,  ,82.5,53.0,38.0,6.0
Zeke,WR,TS,0.0,0.0,0.0,0.0
