display_name,user_id,league_id
kevo1022,451807541647634432,1207451952707813376
mrTman,472136033526345728,1207451952707813376
MikeNorys,548317142968336384,1207451952707813376
socalifjimmy,558483388996636672,1207451952707813376
chavo317,561715408029736960,1207451952707813376
TMISH31,561747196680642560,1207451952707813376
Darkwater59,594730254984077312,1207451952707813376
RunTheBrews,595331324689047552,1207451952707813376
MileHighMorty,595421624581287936,1207451952707813376
Koko3321,595464158774878208,1207451952707813376
beebudda,741144911407095808,1207451952707813376
Tski25,1068706773223223296,1207451952707813376
aweb17,1069022574568402944,1207451952707813376
andrewwhelan,1139726071898824704,1207451952707813376
