status,type,created,leg,creator,draft_picks,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7591,adds_6806,drops_7113,adds_2036,drops_1875,adds_4118,drops_7648,adds_6788,drops_6218,adds_2374,drops_6901,adds_4892,drops_1166,adds_6124,drops_10888,metadata,settings,adds_6901,drops_6788,adds_5248,drops_1426,adds_2350,drops_5001,adds_7136,drops_10891,adds_7113,drops_11669,adds_6768,drops_6124,adds_6218,drops_7635,adds_7600,drops_6783,adds_4381,drops_7600,adds_8408,drops_4017,adds_9224,drops_7811,adds_7021,drops_6768,adds_421,drops_4892,adds_4082,drops_11626,adds_6783,drops_11564,adds_5348,drops_11643,adds_8111,adds_3233,drops_11600,adds_4017,adds_6315,drops_11592,adds_5030
complete,waiver,1726036788396,1,740751073198948352,[],1139484515505971200,,[12],[12],1726038300526,[],Your waiver claim was processed successfully!,2.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726032762628,1,740751073198948352,[],1139467630211088384,,[12],[12],1726038300526,[],This player was claimed by another owner.,1.0,23.0,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726027507435,1,862499213718704128,[],1139445588334067712,,[11],[11],1726038300526,[],Your waiver claim was processed successfully!,7.0,0.0,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726027245684,1,862499213718704128,[],1139444490470711296,,[11],[11],1726038300526,[],Your waiver claim was processed successfully!,6.0,0.0,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726027177576,1,862499213718704128,[],1139444204804931584,,[11],[11],1726038300526,[],Your waiver claim was processed successfully!,5.0,0.0,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726026957132,1,862499213718704128,[],1139443280195756032,,[11],[11],1726038300526,[],Your waiver claim was processed successfully!,3.0,5.0,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726025555439,1,594730254984077312,[],1139437401069420544,,[4],[4],1726038300526,[],Your waiver claim was processed successfully!,0.0,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1725934473138,1,1130644355074629632,[],1139055374211203072,,[5],[5],1726038300526,[],Your waiver claim was processed successfully!,4.0,3.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1725641974003,1,740751073198948352,[],1137828543913811968,,[12],[12],1725680678033,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725552982204,1,862499213718704128,[],1137455285259304960,,[11],[11],1725552982204,[],,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725545106282,1,740751073198948352,[],1137422251248181248,,[12],[12],1725545106282,[],,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725544969960,1,740751073198948352,[],1137421679472271360,,[12],[12],1725544969960,[],,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725544837229,1,740751073198948352,[],1137421122753912832,,[12],[12],1725544837229,[],,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725544559795,1,740751073198948352,[],1137419959115571200,,[12],[12],1725544559795,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725510902420,1,862499213718704128,[],1137278789852979200,,[11],[11],1725510902420,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725510569411,1,862499213718704128,[],1137277393111998464,,[11],[11],1725510569411,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1725461209729,1,594730254984077312,[],1137070363600375808,,[4],[4],1725572670765,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725403463791,1,741144911407095808,[],1136828159581618176,,[6],[6],1725403463791,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725359178853,1,741144911407095808,[],1136642415089016832,,[6],[6],1725359178853,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1725330125302,1,861798755085692928,[],1136520555663888384,,[9],[9],1725330125302,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,
complete,free_agent,1725305398455,1,595464158774878208,[],1136416843750576128,,[7],[7],1725305398455,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,
complete,free_agent,1725284136602,1,578293895956312064,[],1136327665075494912,,[2],[2],1725284136602,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,
complete,free_agent,1725248301788,1,594730254984077312,[],1136177362971811840,,[4],[4],1725248301788,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,
complete,free_agent,1725248122495,1,594730254984077312,[],1136176610962464768,,[4],[4],1725248122495,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,
complete,free_agent,1725244731554,1,561715408029736960,[],1136162388325064704,,[10],[10],1725244731554,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,
complete,free_agent,1725244686428,1,830975786608619520,[],1136162199052902400,,[8],[8],1725244686428,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
complete,free_agent,1725244631687,1,561715408029736960,[],1136161969452507136,,[10],[10],1725244631687,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,
complete,free_agent,1725244626584,1,741144911407095808,[],1136161948048973824,,[6],[6],1725244626584,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
complete,free_agent,1725244609741,1,561715408029736960,[],1136161877404311552,,[10],[10],1725244609741,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,
complete,free_agent,1725244569736,1,561715408029736960,[],1136161709611180032,,[10],[10],1725244569736,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
