avatar,display_name,is_bot,is_owner,league_id,settings,user_id,metadata_allow_pn,metadata_allow_sms,metadata_avatar,metadata_mention_pn,metadata_team_name,metadata_join_voice_pn,metadata_mascot_message,metadata_player_like_pn,metadata_player_nickname_update,metadata_team_name_update,metadata_trade_block_pn,metadata_transaction_commissioner,metadata_transaction_free_agent,metadata_transaction_trade,metadata_transaction_waiver,metadata_user_message_pn,metadata_mascot_item_type_id_leg_13,metadata_mascot_item_type_id_leg_17,metadata_mascot_item_type_id_leg_12,metadata_mascot_item_type_id_leg_1,metadata_mascot_message_emotion_leg_2,metadata_mascot_item_type_id_leg_9,metadata_mascot_item_type_id_leg_4,metadata_show_mascots,metadata_mascot_item_type_id_leg_3,metadata_mascot_item_type_id_leg_18,metadata_mascot_item_type_id_leg_10,metadata_mascot_item_type_id_leg_5,metadata_mascot_item_type_id_leg_7,metadata_mascot_item_type_id_leg_14,metadata_mascot_item_type_id_leg_6,metadata_mascot_item_type_id_leg_11,metadata_mascot_item_type_id_leg_2,metadata_mascot_item_type_id_leg_15,metadata_mascot_message_emotion_leg_1,metadata_mascot_item_type_id_leg_8,metadata_mascot_item_type_id_leg_16
b704c78e6eb470cb0a43cdc9626638da,chavo317,False,False,1237469128541868032,,561715408029736960,on,on,https://sleepercdn.com/uploads/93f1939d8f2379ebdad3b5c031fad5da.jpg,on,& FFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d029bf89fb4be9d97e5b2094b5f7cb7,Sadowski44,False,False,1237469128541868032,,578293895956312064,on,on,https://sleepercdn.com/uploads/c96cc8c9593acdb0217fa32a3909bdce.jpg,on,Adonai Stretch Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea15833f2b16c560300503ebdb03b1d2,Darkwater59,False,False,1237469128541868032,,594730254984077312,on,,,on,Seen Maye Nabers Penix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7a486917eb76fc6b018fdd343fcf4e4,Koko3321,False,False,1237469128541868032,,595464158774878208,on,on,https://sleepercdn.com/uploads/294bc9b3777cd64af2bf3d155644e3b7.jpg,on,S-M-R-T,off,off,on,off,off,off,off,off,off,off,off,,,,,,,,,,,,,,,,,,,,,
b3338675f635c2c1f42b469621d38ec6,rwenrich7,False,False,1237469128541868032,,740751073198948352,on,,https://sleepercdn.com/uploads/61f217c30dd3c2e88c72a85cf5c576ea,on,Catholic League's Finest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60b73c655497471a136da68767aaedca,beebudda,False,True,1237469128541868032,,741144911407095808,on,on,https://sleepercdn.com/uploads/60b73c655497471a136da68767aaedca,on,Trey Lanced,on,on,on,on,on,on,on,on,on,on,on,frog-fu,frog-fu,frog-fu,pizza,dancing,frog-fu,frog-fu,on,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,dancing,frog-fu,frog-fu
7ae9de3a7107a8a83eb8b48a960523d5,gtjackets13,False,False,1237469128541868032,,830975786608619520,on,,,on,,off,off,off,off,off,off,off,off,off,off,off,,,,,,,,,,,,,,,,,,,,,
b319fdf8b7b5b0359d3c78622ba4d70c,BeaverboySeg,False,False,1237469128541868032,,861798755085692928,on,on,https://sleepercdn.com/uploads/fc7d40ea929c6b9a6fd1f33bfc7a9ac2.jpg,on,Senior Seg,on,off,on,on,on,on,on,on,on,on,on,doge,doge,doge,doge,,doge,doge,on,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,idle,doge,doge
f0edbf4278f53f9425db175073df6584,Shon21,False,False,1237469128541868032,,862499213718704128,on,,,on,HonSolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8eb8f8bf999945d523f2c4033f70473e,TylerSeggerman,False,False,1237469128541868032,,862559746694205440,on,,https://sleepercdn.com/uploads/9832a14cce52442ed6ea88adb5e0bb2f.jpg,on,A Huddle Of Losers,,,,,,,,,,,,,,,,,,,on,,,,,,,,,,,,,
7a8c62b8893c70778423e1c471e9b531,SanfranGuy,False,False,1237469128541868032,,1045522732957417472,on,on,,on,A worthy team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7af4deab0289b4f5505646424895246,nicmo4,False,False,1237469128541868032,,1130644355074629632,on,on,,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
